Batch_ID,Ingredient_Name,Category,Storage_Type,Received_Date,Use_By_Date,Quantity_Received,Unit,Unit_Cost,Quantity_Used_So_Far,Scenario_Tag
RB-0001,Tomatoes,Produce,Fridge,2026-09-05,2026-09-12,10.5,kg,31.67,4.1,normal
RB-0002,Tomatoes,Produce,Fridge,2026-09-06,2026-09-13,6.7,kg,40.15,1.8,normal
RB-0003,Onions,Produce,Dry Storage,2026-08-22,2026-09-21,5.5,kg,27.33,1.6,normal
RB-0004,Garlic,Produce,Dry Storage,2026-08-13,2026-10-12,16.8,kg,170.98,4.1,normal
RB-0005,Garlic,Produce,Dry Storage,2026-07-28,2026-09-26,13.5,kg,190.29,3.8,normal
RB-0006,Ginger,Produce,Fridge,2026-08-29,2026-09-18,6.9,kg,84.09,3.2,normal
RB-0007,Green Chillies,Produce,Fridge,2026-09-02,2026-09-12,7.5,kg,81.89,3.8,normal
RB-0008,Coriander Leaves,Produce,Fridge,2026-09-08,2026-09-12,22.7,kg,56.59,6.8,normal
RB-0009,Mint Leaves,Produce,Fridge,2026-09-10,2026-09-14,20.5,kg,50.92,4.4,normal
RB-0010,Potatoes,Produce,Dry Storage,2026-08-12,2026-09-26,17.7,kg,23.8,5.2,normal
RB-0011,Cauliflower,Produce,Fridge,2026-09-09,2026-09-19,17.2,kg,45.05,1.5,normal
RB-0012,Spinach,Produce,Fridge,2026-09-10,2026-09-15,6.0,kg,46.93,5.5,erratic_usage_spike
RB-0013,Bell Peppers,Produce,Fridge,2026-09-10,2026-09-20,8.0,kg,79.73,0.0,ambiguous_no_usage_history
RB-0014,Bell Peppers,Produce,Fridge,2026-09-07,2026-09-17,23.3,kg,78.03,5.7,normal
RB-0015,Lemons,Produce,Fridge,2026-09-04,2026-09-18,22.7,kg,73.11,5.5,normal
RB-0016,Paneer,Dairy,Fridge,2026-09-08,2026-09-13,19.9,kg,289.87,6.1,normal
RB-0017,Ghee,Dairy,Dry Storage,2026-08-06,2027-02-02,15.2,kg,521.93,0.8,normal
RB-0018,Yogurt (Curd),Dairy,Fridge,2026-09-09,2026-09-16,20.8,kg,63.06,2.3,normal
RB-0019,Fresh Cream,Dairy,Fridge,2026-09-08,2026-09-13,10.0,litre,279.79,1.0,dairy_low_usage
RB-0020,Milk,Dairy,Fridge,2026-09-10,2026-09-14,15.2,litre,61.8,1.8,normal
RB-0021,Butter,Dairy,Fridge,2026-08-23,2026-10-22,13.7,kg,427.21,2.7,normal
RB-0022,Butter,Dairy,Fridge,2026-08-25,2026-10-24,24.4,kg,470.07,4.4,normal
RB-0023,Chicken (Bone-in),Meat & Poultry,Fridge,2026-09-06,2026-09-09,15.0,kg,214.82,9.0,already_expired
RB-0024,Chicken (Boneless),Meat & Poultry,Fridge,2026-09-09,2026-09-12,24.1,kg,310.5,13.5,normal
RB-0025,Mutton,Meat & Poultry,Fridge,2026-09-10,2026-09-14,7.2,kg,582.42,1.0,normal
RB-0026,Mutton,Meat & Poultry,Fridge,2026-09-10,2026-09-14,6.2,kg,630.68,1.3,normal
RB-0027,Prawns,Seafood,Fridge,2026-09-10,2026-09-12,12.0,kg,573.19,2.0,seafood_at_risk
RB-0028,Fish (Pomfret),Seafood,Fridge,2026-09-09,2026-09-12,8.3,kg,497.53,3.1,normal
RB-0029,Fish (Pomfret),Seafood,Fridge,2026-09-09,2026-09-12,20.1,kg,546.44,8.9,normal
RB-0030,Basmati Rice,Dry Goods & Spices,Dry Storage,2026-08-22,2027-08-22,50.0,kg,119.85,12.0,dry_goods_normal
RB-0031,Wheat Flour (Atta),Dry Goods & Spices,Dry Storage,2026-06-16,2026-12-13,5.4,kg,43.37,1.5,normal
RB-0032,Besan (Gram Flour),Dry Goods & Spices,Dry Storage,2026-04-02,2026-09-29,6.2,kg,71.42,1.5,normal
RB-0033,Turmeric Powder,Dry Goods & Spices,Dry Storage,2026-05-12,2027-05-12,10.6,kg,253.54,1.9,normal
RB-0034,Red Chilli Powder,Dry Goods & Spices,Dry Storage,2025-11-22,2026-11-22,16.5,kg,326.78,5.5,normal
RB-0035,Red Chilli Powder,Dry Goods & Spices,Dry Storage,2026-07-24,2027-07-24,6.9,kg,300.35,0.4,normal
RB-0036,Garam Masala,Dry Goods & Spices,Dry Storage,2026-08-28,2027-02-24,18.5,kg,686.38,0.8,normal
RB-0037,Cumin Seeds,Dry Goods & Spices,Dry Storage,2026-07-17,2027-07-17,10.0,kg,386.41,0.6,normal
RB-0038,Mustard Seeds,Dry Goods & Spices,Dry Storage,2026-01-17,2027-01-17,10.0,kg,209.17,4.4,normal
RB-0039,Toor Dal,Dry Goods & Spices,Dry Storage,2025-10-12,2026-10-12,25.0,kg,142.94,18.6,normal
RB-0040,Toor Dal,Dry Goods & Spices,Dry Storage,2026-05-12,2027-05-12,8.3,kg,167.79,1.2,normal
RB-0041,Chana Dal,Dry Goods & Spices,Dry Storage,2026-06-18,2027-06-18,12.6,kg,137.07,1.9,normal
RB-0042,Cashews,Dry Goods & Spices,Dry Storage,2026-03-16,2026-09-12,24.1,kg,928.52,18.0,normal
RB-0043,Rice Flour,Dry Goods & Spices,Dry Storage,2026-07-24,2027-01-20,10.9,kg,69.73,2.2,normal
RB-0044,Rice Flour,Dry Goods & Spices,Dry Storage,2026-06-22,2026-12-19,6.1,kg,70.84,1.5,normal
